time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id
2018-06-09T14:18:30.190Z,33.7746667,-116.1313333,8.66,0.97,ml,29,88,0.07828,0.21,ci,ci38194640
2018-06-09T14:17:51.600Z,19.3868332,-155.293335,0.35,2.29,ml,12,71,0.003214,0.15,hv,hv70253227
2018-06-09T14:16:55.040Z,19.4261665,-155.2711639,0.96,1.84,ml,9,96,0.003409,0.31,hv,hv70253222
2018-06-09T14:16:32.710Z,19.430666,-155.2489929,1.37,2,ml,6,276,0.01359,0.08,hv,hv70253217
2018-06-09T14:14:53.370Z,19.4011669,-155.2640076,0.89,2.43,ml,23,59,0.003481,0.15,hv,hv70253212
2018-06-09T14:11:37.860Z,33.4395,-116.9441667,13.27,0.57,ml,15,156,0.1124,0.25,ci,ci38194632
2018-06-09T14:11:34.940Z,19.3841667,-155.2774963,0.35,2.35,ml,8,244,0.01172,0.17,hv,hv70253207
2018-06-09T14:11:20.590Z,32.901,-116.2886667,13.81,0.87,ml,14,71,0.1128,0.18,ci,ci38194624
2018-06-09T14:11:06.490Z,19.4128342,-155.2863312,0.33,2.15,ml,12,100,0.005245,0.13,hv,hv70253202
2018-06-09T14:06:13.210Z,19.4118328,-155.2920074,0.63,2.81,ml,47,27,0.009126,0.27,hv,hv70253197
2018-06-09T14:03:49.750Z,19.4120007,-155.2676697,2.16,2.27,ml,14,85,0.007356,0.23,hv,hv70253182
2018-06-09T14:03:47.090Z,32.3155,-115.3581667,7.46,2.2,ml,12,147,0.113,0.17,ci,ci38194616
2018-06-09T14:03:06.590Z,19.4309998,-155.2741699,0.32,2.31,ml,16,124,0.006993,0.17,hv,hv70253177
2018-06-09T13:59:41.010Z,36.7548,-98.0765,5,4.4,mwr,,49,0.118,0.19,us,us1000em4c
2018-06-09T13:58:48.250Z,19.4064999,-155.2661591,0.38,2.77,ml,35,27,0.008127,0.29,hv,hv70253162
2018-06-09T13:55:23.760Z,19.4181671,-155.2794952,1.37,3.29,ml,52,25,0.004372,0.21,hv,hv70253157
2018-06-09T13:53:54.310Z,19.3878326,-155.2825012,0.64,2.96,ml,21,65,0.001492,0.24,hv,hv70253152
2018-06-09T13:50:52.600Z,19.4204998,-155.2791595,2,2.68,ml,12,78,0.004492,0.27,hv,hv70253137
2018-06-09T13:50:00.890Z,19.3821659,-155.2813263,0.11,2.44,ml,27,95,0.004359,0.23,hv,hv70253132
2018-06-09T13:49:55.880Z,19.3798332,-155.2436676,6.29,2.45,ml,8,150,0.02042,0.08,hv,hv70253127
2018-06-09T13:49:07.590Z,33.8748333,-116.639,15.9,1.27,ml,42,42,0.07936,0.19,ci,ci38194608
2018-06-09T13:48:21.120Z,19.373333,-155.2969971,-1.07,2.46,ml,19,93,0.01682,0.36,hv,hv70253117
2018-06-09T13:47:30.589Z,58.6107,-154.4562,0.8,1.5,ml,,,,0.61,ak,ak19737693
2018-06-09T13:45:04.850Z,19.4200001,-155.2823334,1.11,2.21,ml,22,62,0.00286,0.2,hv,hv70253112
2018-06-09T13:44:14.659Z,58.2175,-155.4171,0,1.4,ml,,,,0.6,ak,ak19737691
2018-06-09T13:40:45.590Z,19.4286671,-155.2684937,-0.41,2.68,ml,16,217,0.001757,0.24,hv,hv70253102
2018-06-09T13:38:30.350Z,19.4096661,-155.2628326,0.66,2.47,ml,35,36,0.003685,0.3,hv,hv70253097
2018-06-09T13:36:32.220Z,19.4099998,-155.2714996,1.58,2.05,ml,27,42,0.01116,0.24,hv,hv70253092
2018-06-09T13:32:32.990Z,19.4121666,-155.4244995,-3.14,2.35,ml,12,236,0.1022,0.31,hv,hv70253087
2018-06-09T13:32:29.110Z,19.4121666,-155.2863312,0.33,2.7,ml,49,20,0.005859,0.25,hv,hv70253082
2018-06-09T13:31:57.720Z,19.3751659,-155.2976685,2.37,2.66,ml,7,124,0.01516,0.22,hv,hv70253077
2018-06-09T13:31:40.940Z,19.4403324,-155.2121735,2.19,2.58,ml,8,310,0.04913,0.17,hv,hv70253072
2018-06-09T13:28:42.660Z,19.4241657,-155.277832,1.19,2.53,ml,38,32,0.0006365,0.19,hv,hv70253067
2018-06-09T13:28:15.440Z,19.4196663,-155.2836609,-0.57,2.57,ml,6,128,0.002036,0.05,hv,hv70253062
2018-06-09T13:26:03.170Z,19.3936672,-155.2879944,0.73,2.42,ml,29,51,0.006736,0.18,hv,hv70253057
2018-06-09T13:25:13.260Z,19.4018326,-155.2648315,1.28,2.21,ml,19,95,0.003747,0.17,hv,hv70253052
2018-06-09T13:23:22.130Z,19.3955002,-155.2948303,0.61,2.38,ml,20,105,0.005525,0.2,hv,hv70253042
2018-06-09T13:23:08.450Z,19.4069996,-155.2805023,0.01,2.37,ml,18,93,0.01114,0.19,hv,hv70253037
2018-06-09T13:18:13.700Z,19.3959999,-155.2641602,-0.3,3.12,ml,54,36,0.002845,0.32,hv,hv70253032
2018-06-09T13:16:50.480Z,19.4034996,-155.2686615,0.53,2.59,ml,24,51,0.005789,0.34,hv,hv70253022
2018-06-09T13:15:24.230Z,19.4071674,-155.2649994,0.61,2.39,ml,23,55,0.006879,0.25,hv,hv70253012
2018-06-09T13:15:22.850Z,19.5321674,-155.2261658,3.04,2.82,ml,12,245,0.08535,0.26,hv,hv70253017
2018-06-09T13:13:50.420Z,19.4173336,-155.2576599,0.7,2.31,ml,19,98,0.005623,0.24,hv,hv70253007
2018-06-09T13:10:21.570Z,19.4116669,-155.2855072,0.85,2.23,ml,28,31,0.00611,0.13,hv,hv70253002
2018-06-09T13:09:15.010Z,19.383667,-155.2855072,0.99,1.99,ml,16,78,0.004576,0.17,hv,hv70252992
2018-06-09T13:07:04.390Z,19.4060001,-155.2698364,0.52,2.16,ml,7,244,0.008512,0.15,hv,hv70252982
2018-06-09T13:03:41.234Z,62.9389,-151.2894,104.4,1.1,ml,,,,0.25,ak,ak19737687
2018-06-09T13:03:37.590Z,34.0693333,-117.5463333,0.08,0.75,ml,17,111,0.08493,0.24,ci,ci38194600
2018-06-09T13:02:00.700Z,19.4091663,-155.2714996,0.28,2.79,ml,34,41,0.01135,0.29,hv,hv70252967
2018-06-09T13:00:10.820Z,19.3994999,-155.2758331,0.57,2.76,ml,32,40,0.004601,0.21,hv,hv70252962
2018-06-09T12:58:26.880Z,35.3045,-118.5903333,4.2,1.56,ml,17,133,0.1089,0.16,ci,ci38194592
2018-06-09T12:56:34.350Z,19.430666,-155.3011627,-0.51,2.5,ml,14,67,0.01349,0.19,hv,hv70252957
2018-06-09T12:55:25.910Z,35.3053333,-118.5856667,4.84,2.05,ml,30,47,0.1123,0.21,ci,ci38194584
2018-06-09T12:55:05.170Z,19.4103336,-155.2636719,0.59,2.48,ml,33,33,0.003984,0.21,hv,hv70252952
2018-06-09T12:53:11.770Z,19.4146671,-155.295166,0.21,2.79,ml,22,83,0.007322,0.19,hv,hv70252942
2018-06-09T12:52:39.030Z,19.4039993,-155.2666626,1.23,2.71,ml,18,56,0.005758,0.22,hv,hv70252937
2018-06-09T12:51:13.360Z,19.3943329,-155.2698364,1.17,1.93,ml,8,117,0.003738,0.08,hv,hv70252932
2018-06-09T12:50:07.200Z,19.423666,-155.2746735,1.8,2.47,ml,18,60,0.002953,0.14,hv,hv70252927
2018-06-09T12:49:52.360Z,19.4243336,-155.2975006,0.42,2.58,ml,12,80,0.006853,0.31,hv,hv70252922
2018-06-09T12:45:42.540Z,19.4001675,-155.2863312,0.7,2.56,ml,13,171,0.01243,0.16,hv,hv70252912
2018-06-09T12:44:05.540Z,19.4183331,-155.2774963,0.59,2.13,ml,15,80,0.006266,0.2,hv,hv70252907
2018-06-09T12:43:49.860Z,19.4246674,-155.2915039,0.32,2.12,ml,15,136,0.00369,0.22,hv,hv70252902
2018-06-09T12:40:58.530Z,19.3859997,-155.302002,0.45,2.41,ml,15,91,0.008543,0.22,hv,hv70252897
2018-06-09T12:37:55.980Z,33.9278333,-116.3245,9.52,0.91,ml,27,58,0.07122,0.22,ci,ci38194576
2018-06-09T12:37:08.020Z,19.4146671,-155.2615051,0.94,1.71,md,9,121,0.002991,0.03,hv,hv70252887
2018-06-09T12:29:17.740Z,19.4273338,-155.2293396,6.49,2.31,ml,9,259,0.03013,0.2,hv,hv70252867
2018-06-09T12:27:38.270Z,19.4173336,-155.264328,1.93,2.02,ml,17,75,0.006513,0.17,hv,hv70252857
2018-06-09T12:27:09.410Z,33.5786667,-116.7111667,13.86,0.25,ml,20,78,0.02552,0.15,ci,ci38194480
2018-06-09T12:26:48.490Z,38.7879982,-122.7648315,1.25,1.03,md,10,72,0.01727,0.04,nc,nc73027791
2018-06-09T12:26:14.040Z,17.9165,-65.9001,10,1.93,md,11,269,0.2124,0.1,pr,pr2018160006
2018-06-09T12:24:19.540Z,19.3773327,-155.2850037,0.15,2.23,ml,19,96,0.009663,0.31,hv,hv70252842
2018-06-09T12:21:35.160Z,19.4061661,-155.2619934,1.38,2.18,ml,16,76,0.006219,0.13,hv,hv70252837
2018-06-09T12:20:25.630Z,19.4071674,-155.2814941,-0.03,2.08,ml,10,180,0.01072,0.27,hv,hv70252827
2018-06-09T12:19:56.580Z,19.3915005,-155.2736664,0.58,2.25,ml,17,64,0.009064,0.22,hv,hv70252822
2018-06-09T12:17:31.918Z,61.2655,-149.3372,33.6,1.2,ml,,,,0.34,ak,ak19737685
2018-06-09T12:17:27.010Z,19.3976669,-155.2618408,0.1,2.32,ml,12,88,0.003997,0.26,hv,hv70252812
2018-06-09T12:15:50.540Z,19.4133339,-155.2850037,0.41,2.37,ml,36,30,0.00439,0.2,hv,hv70252807
2018-06-09T12:15:16.262Z,38.8292,-119.8138,11.8,1.6,ml,31,68.13,0.208,0.222,nn,nn00638954
2018-06-09T12:13:20.620Z,19.4230003,-155.2928314,0.72,2.41,ml,24,41,0.00256,0.2,hv,hv70252797
2018-06-09T12:12:03.270Z,19.4451675,-155.2686615,0.16,1.89,ml,9,183,0.0162,0.09,hv,hv70252792
2018-06-09T12:09:34.940Z,19.3969994,-155.2793274,0.6,2.83,ml,28,72,0.005606,0.15,hv,hv70252787
